ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Casio Protrek,No:PRW6100Y-1,"HKD 4,770","HKD 3,100",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907294/cm-0/d-0,Diameter 58 mm Thickness 12.8 mm Shape Round Glass Sapphire Glass,Color Black,Color Black Width Material PU,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202102/5458149767631962232.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GA100MMC-1A,"HKD 1,070",HKD 802,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900325/cm-0/d-0,Diameter 51 mm Thickness 16.9 mm Shape Round Glass Mineral Glass,Color Rose Gold,Color Black Width Material PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/5539786031625400028.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Protrek,No:PRW6100Y-1B,"HKD 4,770","HKD 3,100",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907295/cm-0/d-0,Diameter 58 mm Thickness 12.8 mm Shape Round Glass Sapphire Glass,Color Black,Color Black Width Material PU,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202102/4733358535654554048.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Sheen,No:SHE3046PG-4A,"HKD 1,380",HKD 897,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907299/cm-0/d-0,Diameter 40.9 mm Thickness 9.3 mm Shape Round Glass Mineral Glass,Color Rose Gold,Color Rose Gold Width Material Stainless Steel,Quartz,5 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202102/5745001360720578401.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Sheen,No:SHE4034D-7A,"HKD 1,430",HKD 929,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907312/cm-0/d-0,Diameter 36.5 mm Thickness 7.1 mm Shape Round Glass Mineral Glass,Color Silver,Color Silver Width Material Stainless Steel,Quartz,5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202102/5460530615117483952.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GA800MMC-1A,"HKD 1,140",HKD 855,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900302/cm-0/d-0,Diameter 49 mm Thickness 15.5 mm Shape Round Glass Mineral Glass,Color Rose Gold,Color Black Width Material PU,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201907/5129342935623184032.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Sheen,No:SHE3055SG-7A,"HKD 1,440",HKD 936,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907304/cm-0/d-0,Diameter 40.5 mm Thickness 8.8 mm Shape Round Glass Mineral Glass,Color,Color Silver Width Material Stainless Steel,Quartz,5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202102/5636580364526693310.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Sheen,No:SHE3034SPG-7A,"HKD 1,550","HKD 1,000",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907297/cm-0/d-0,Diameter 40.2 mm Thickness 8.6 mm Shape Round Glass Mineral Glass,Color,Color Two-tone Width Material Stainless Steel,Quartz,5 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202102/5236041956356581645.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Sheen,No:SHE3052SPG-7A,"HKD 1,320",HKD 858,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907302/cm-0/d-0,Diameter 38.5 mm Thickness 8.5 mm Shape Round Glass Mineral Glass,Color,Color Two-tone Width Material Stainless Steel,Quartz,5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202102/5417308850244650046.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Sheen,No:SHE3054PGL-2A,"HKD 1,210",HKD 726,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907303/cm-0/d-0,Diameter 41 mm Thickness 8.9 mm Shape Round Glass Mineral Glass,Color,Color Light Blue Width Material Calf,Quartz,5 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202102/5334971539020221775.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Sheen,No:SHE3059PGL-7B,HKD 980,HKD 637,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907306/cm-0/d-0,Diameter 41.3 mm Thickness 9.2 mm Shape Round Glass Mineral Glass,Color,Color Navy Width Material Calf,Quartz,5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202102/5618396442708355719.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Sheen,No:SHE3066PGL-7A,"HKD 1,050",HKD 682,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907309/cm-0/d-0,Diameter 41 mm Thickness Shape Round Glass,Color,Color Navy Width Material Calf,Quartz,,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202102/5062782036098253360.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Sheen,No:SHE4056PG-2A,"HKD 1,250",HKD 812,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907316/cm-0/d-0,Diameter 37.7 mm Thickness 8 mm Shape Round Glass Mineral Glass,Color Navy,Color Rose Gold Width Material Stainless Steel,Quartz,5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202102/5147160301898158987.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Sheen,No:SHE3046GLP-7C,"HKD 1,080",HKD 702,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907298/cm-0/d-0,Diameter 40.9 mm Thickness 9.3 mm Shape Round Glass Mineral Glass,Color Silver,Color Navy Width Material Calf,Quartz,5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202102/4683267878021823688.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Sheen,No:SHE4056SPG-7A,"HKD 1,250",HKD 812,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907317/cm-0/d-0,Diameter 37.7 mm Thickness 8 mm Shape Round Glass Mineral Glass,Color Silver,Color Two-tone Width Material Stainless Steel,Quartz,5 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202102/5339115307680326389.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Sheen,No:SHE4055PG-4A,"HKD 1,510",HKD 981,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907315/cm-0/d-0,Diameter 37.4 mm Thickness 7.3 mm Shape Round Glass Mineral Glass,Color Rose Gold,Color Rose Gold Width Material Stainless Steel,Quartz,5 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202102/4978826990031762819.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Sheen,No:SHE3062PG-9A,"HKD 1,360",HKD 884,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907308/cm-0/d-0,Diameter 38.6 mm Thickness 8.4 mm Shape Round Glass Mineral Glass,Color,Color Rose Gold Width Material Stainless Steel,Quartz,5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202102/4877124576668229198.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Sheen,No:SHE4052PG-4A,"HKD 1,260",HKD 819,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907314/cm-0/d-0,Diameter 42.2 mm Thickness 8 mm Shape Round Glass Mineral Glass,Color,Color Rose Gold Width Material Stainless Steel,Quartz,5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202102/4910430567630965029.jpg_700x650.ashx,N\A,N\A,N\A,N\A
