ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Seiko Presage,No:SRPF29J1,"HKD 2,890","HKD 2,312",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907120/cm-0/d-0,Diameter 34.2 mm Thickness Shape Round Glass Sapphire Glass,Color Navy,Color Silver Width Material Stainless Steel,Automatic (4R35),10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202012/4910971659211981328.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Citizen Mechanical,No:NP1010-01L,"HKD 3,510","HKD 2,808",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902074/cm-0/d-0,Diameter 39.6 mm Thickness 11.2 mm Shape Round Glass Sapphire Glass,Color Blue,Color Black Width Material Stainless Steel,Mechanical,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201911/4764817020634036515.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Citizen Mechanical,No:PD7150-03L,"HKD 2,420",HKD 980,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900968/cm-0/d-0,Diameter       29 mm       Thickness       10.6 mm       Shape       Round       Glass       Sapphire Glass,Color       Navy,Color       Black       Width       12 mm       Material       Calf,Mechanical,5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202010/4750074211205601963.JPG_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GA110RG-7A,"HKD 1,350","HKD 1,080",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900892/cm-0/d-0,Diameter       51 mm       Thickness       16.9 mm       Shape       Round       Glass       Mineral Glass,Color       Black,Color       White       Width               Material       PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/5132154365011468115.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BA110RG-7A,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900266/cm-0/d-0,Diameter       43 mm       Thickness       15.8 mm       Shape       Round       Glass       Mineral Glass,Color       Pink,Color       White       Width               Material       PU,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202010/5647749219296174178.JPG_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:DW5600THB-7,HKD 898,HKD 673,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904453/cm-0/d-0,Diameter 43 mm Thickness 15.8 mm Shape Square Glass Mineral Glass,Color,Color Width Material Resin,,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202002/4624104645256973268.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GA110GW-7A,"HKD 1,330","HKD 1,064",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900891/cm-0/d-0,Diameter       51 mm       Thickness       16.9 mm       Shape       Round       Glass       Mineral Glass,Color       Black,Color       White       Width               Material       PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/4849931505047408850.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BA110-7A1,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900262/cm-0/d-0,Diameter       43 mm       Thickness       15.8 mm       Shape       Round       Glass       Mineral Glass,Color       Rose Gold,Color       White       Width               Material       PU,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202010/4617268195759645580.JPG_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GA110-1B,"HKD 1,170",HKD 936,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900317/cm-0/d-0,Diameter       51 mm       Thickness       16.9 mm       Shape       Round       Glass       Mineral Glass,Color       Black,Color       Black       Width               Material       PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/5328328700620055894.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BA110BC-1A,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900887/cm-0/d-0,Diameter       43 mm       Thickness       15.8 mm       Shape       Round       Glass       Mineral Glass,Color       Black,Color       Black       Width               Material       PU,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201907/5572247322329654725.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Domestic,No:SBPL009J,,N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905266/cm-0/d-0,Diameter 38.8 mm Thickness 8 mm Shape Round Glass Sapphire Glass,Color Blue,Color Silver Width 18 mm Material Stainless Steel,Solar,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/4977895713695775117.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Domestic,No:SBPL007J,,N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905265/cm-0/d-0,Diameter 38.8 mm Thickness 8 mm Shape Round Glass Sapphire Glass,Color White,Color Silver Width 18 mm Material Stainless Steel,Solar,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/4802195056874872364.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Domestic,No:STPX047J,,N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905446/cm-0/d-0,Diameter 28 mm Thickness 10 mm Shape Round Glass Sapphire Glass,Color White,Color Silver Width 18 mm Material Stainless Steel,Solar,10ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/5760561674406849727.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Quartz,No:SCXP128J,"HKD 1,780","HKD 1,157",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901751/cm-0/d-0,Diameter 38.2 mm Thickness Shape Round Glass Mineral Glass,Color Purple,Color Black Width Material Leather,,,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/5303455582616383126.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Domestic,No:SCXP138J,"HKD 1,780","HKD 1,000",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906695/cm-0/d-0,Diameter 30.2 mm Thickness 7.1 mm Shape Round Glass Harden Glass,Color Burgundy,Color Black Width Material Calf,Quartz (7N01),3 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202010/5039805762931405793.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GA140GB-1A2,"HKD 1,080",HKD 864,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904921/cm-0/d-0,Diameter       55 mm       Thickness       16.9 mm       Shape       Round       Glass       Mineral Glass,Color       Rose Gold,Color       Black       Width               Material       PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202005/4916622399204798092.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BA130-1A4,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906198/cm-0/d-0,Diameter       46.3 mm       Thickness       15.8 mm       Shape       Round       Glass       Mineral Glass,Color       Rose Gold,Color       Black       Width               Material       PU,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202007/5395634318467507410.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:DW5600WM-5,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906902/cm-0/d-0,Diameter 48.9 × 42.8 mm Thickness 13.4 mm Shape Rectangle Glass Mineral Glass,Color Black,Color Marble Width Material PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202011/5302654183299408818.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BGD560WM-5,HKD 740,HKD 592,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906901/cm-0/d-0,Diameter 44.7 × 40 mm Thickness 12.5 mm Shape Rectangle Glass Mineral Glass,Color Black,Color Marble Width Material PU,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202011/4949770671642354433.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BGD570TH-1,HKD 790,HKD 592,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904449/cm-0/d-0,Diameter 43 mm Thickness 13 mm Shape Round Glass Mineral Glass,Color,Color Width Material Resin,,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202002/5687971677828034134.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GA140GB-1A1,"HKD 1,080",HKD 864,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904917/cm-0/d-0,Diameter       55 mm       Thickness       16.9 mm       Shape       Round       Glass       Mineral Glass,Color       Gold,Color       Black       Width               Material       PU,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/5326792530364969602.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BA130-1A3,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906197/cm-0/d-0,Diameter       46.3 mm       Thickness       15.8 mm       Shape       Round       Glass       Mineral Glass,Color       Gold,Color       Black       Width               Material       PU,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202007/5498383662593340243.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Citizen Mechanical,No:NY4051-51EB,"HKD 2,400","HKD 1,920",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902297/cm-0/d-0,Diameter 40 mm Thickness 10.7 mm Shape Round Glass Sapphire Glass,Color Black,Color Silver Width Material Stainless Steel,,5 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201912/5393314674550245572.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Citizen Mechanical,No:PD7151-51EB,"HKD 2,400",HKD 890,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902298/cm-0/d-0,Diameter       29 mm       Thickness       10.6 mm       Shape       Round       Glass       Sapphire Glass,Color       Black,Color       Silver       Width               Material       Stainless Steel,,5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201912/4748455674764424448.jpg_700x650.ashx,N\A,N\A,N\A,N\A
