ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Seiko Prospex,No:SPB191J1,,N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906999/cm-0/d-0,Diameter 42 mm Thickness 12.5 mm Shape Round Glass Sapphire Glass,Color White,Color Black Width Material Silicone,Automatic (6R35),20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202012/5068809991833988604.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Sinn Instrument,No:105.021-2SL,"HKD 19,200","HKD 16,896",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906852/cm-0/d-0,Diameter 39.5 mm Thickness 11.9mm Shape Round Glass Sapphire Glass,Color White,Color Silver Width Material Stainless Steel,Automatic,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202011/5561283136119871257.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Sinn Instrument,No:105.010-2SL,"HKD 16,600","HKD 14,608",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906846/cm-0/d-0,Diameter 39.5 mm Thickness 11.9mm Shape Round Glass Sapphire Glass,Color Black,Color Silver Width Material Leather,Automatic,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202011/5524120099164410085.png_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,No:SRPE29K1,"HKD 4,280","HKD 3,424",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906535/cm-0/d-0,Diameter 44 mm Thickness 12.7 mm Shape Round Glass Harden Mineral Glass,Color Brown,Color Brown Width Material Silicone,Automatic (4R36),20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202009/5563996719736244405.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Luminox Navy Seal,No:XS.3503.NSF,"HKD 3,500","HKD 2,800",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906500/cm-0/d-0,Diameter 45 mm Thickness 14 mm Shape Round Glass Mineral Glass,Color Navy,Color Black Width Material Rubber,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202009/5314992312814628036.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202009/5713926219136072211.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202009/4991758011930996412.jpg_700x650.ashx,N\A,N\A
Citizen Mechanical,No:NY0118-11A,"HKD 2,880","HKD 2,304",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906395/cm-0/d-0,Diameter       44 mm       Thickness       13.1 mm       Shape       Round       Glass       Crystal Glass,Color       White,Color       Black       Width               Material       Rubber,Automatic,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202009/4958980394135523179.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202009/4971866368875096245.jpg_700x650.ashx,N\A,N\A,N\A
Sinn,No:1010.023-2SL,"HKD 27,800","HKD 24,464",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900755/cm-0/d-0,Diameter 44 mm Thickness 14.7 mm Shape Round Glass Sapphire Glass,Color Black,Color Black Width 22 mm Material Stainless Steel,Mechanical,100 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201907/4853107992725956127.png_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Domestic,No:SSC757J1,,N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905163/cm-0/d-0,Diameter 45 mm Thickness 13 mm Shape Round Glass Sapphire Glass,Color Black,Color Silver Width Material Stainless Steel,Solar (V192),20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202005/4966027285111682637.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,No:SRPE03K1,"HKD 4,920","HKD 3,936",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905160/cm-0/d-0,Diameter 45 mm Thickness 13.2 mm Shape Round Glass Sapphire Glass,Color Black,Color Silver Width Material Stainless Steel,Automatic (4R36),20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/4745852960625761244.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Domestic,No:SBDC031J,,N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905158/cm-0/d-0,Diameter 45 mm Thickness 14 mm Shape Round Glass Hardlex Crystal,Color Black,Color Silver Width Material Stainless Steel,Quartz (6R15),20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/5685899048343656873.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Luminox NAVY SEAL,No:XS.3581,"HKD 4,350","HKD 3,480",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905138/cm-0/d-0,Diameter 45 mm Thickness 13 mm Shape Round Glass Mineral Glass,Color Black,Color Black Width Material Rubber,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202009/4831896198272648283.png_700x650.ashx,N\A,N\A,N\A,N\A
