ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Casio Edifice (Limited Edition),ECB10HR-1A,"HKD 2,980","HKD 2,235",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904741/cm-0/d-0,Diameter       51 mm       Thickness       12.5 mm       Shape       Round       Glass       Sapphire Glass,Color       Black,Color       Red       Width               Material       Leather,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202004/5058726139059839017.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,GMAS130VC-4A,"HKD 1,280",HKD 832,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904221/cm-0/d-0,Diameter       49 mm       Thickness       15.5 mm       Shape       Round       Glass       Mineral Glass,Color       Orange,Color       Orange       Width               Material       PU,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202001/5687785420729775836.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,GN1000RG-1A,"HKD 2,390","HKD 1,195",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902285/cm-0/d-0,Diameter 50.5 mm Thickness 15.9 mm Shape Round Glass Mineral Glass,Color Black,Color Black Width Material PU,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201912/5347771176299317071.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,GMAS110HT-9A,"HKD 1,420",HKD 850,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902283/cm-0/d-0,Diameter 49 mm Thickness 15.8 mm Shape Round Glass Mineral Glass,Color Yellow,Color Yellow Width Material PU,,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201912/4942976911604495329.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,GA1000-1A,"HKD 2,190","HKD 1,204",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902273/cm-0/d-0,Diameter 50.8 mm Thickness 16.9 mm Shape Round Glass Mineral Glass,Color Black,Color Black Width Material PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201912/4666809326974992602.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,BA120SP-4A,"HKD 1,160",HKD 580,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902257/cm-0/d-0,Diameter 46.3 mm Thickness 15.8 mm Shape Round Glass Mineral Glass,Color Fuchsia,Color Fuchsia Width Material PU,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201912/4860131086807918471.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,BA110PP-2A,"HKD 1,190",HKD 773,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902254/cm-0/d-0,Diameter 43.4 mm Thickness 15.8 mm Shape Round Glass Mineral Glass,Color Blue,Color Width Material PU,,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201912/5678983107475170909.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,BA110LP-9A,"HKD 1,390",HKD 695,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902253/cm-0/d-0,Diameter 43 mm Thickness 15.8 mm Shape Round Glass Mineral Glass,Color,Color Brown Width Material PU,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201912/4728246168568219850.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,GAX100MSA-2A,"HKD 1,420",HKD 781,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902017/cm-0/d-0,Diameter 55 mm Thickness 16.9 mm Shape Round Glass Mineral Glass,Color Black,Color Blue Width Material PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201911/5252639355527301832.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Edifice,EFB302JGL-7A,"HKD 2,900","HKD 1,015",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902004/cm-0/d-0,Diameter 53 mm Thickness 11.7 mm Shape Round Glass Sapphire Glass,Color,Color Brown Width Material,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201911/5265143846503998999.jpg_700x650.ashx,N\A,N\A,N\A,N\A
