ProductURL,ProductID,ProductSKU,ProductAvailability
https://www.hepsiburada.com/mark-ryden-laptop-notebook-sirt-cantasi-8057-usb-sarj-portlu-p-HBV00001493TR?magaza=First%20Sourcer,HB00001493TQ,HBV00001493TR,True
https://www.hepsiburada.com/mark-ryden-omuz-cantasi-7510-gri-p-HBV000013F7JO?magaza=First%20Sourcer,HB000013F7JN,HBV000013F7JO,True
https://www.hepsiburada.com/maono-au-pm420-conderser-studyo-youtuber-ses-kayit-mikrofon-seti-yurt-disindan-p-HBV000017TJK7?magaza=First%20Sourcer,HB000017TJK6,HBV000017TJK7,True
https://www.hepsiburada.com/xiaomi-yeelight-akilli-isik-seridi-rgb-led-2-m-p-HBV00000WBP0U?magaza=First%20Sourcer,HB00000WBP0T,HBV00000WBP0U,True
https://www.hepsiburada.com/robosea-sea-scooter-elektrikli-deniz-scooter-2-x-700w-guc-8km-h-hiz-yurt-disindan-p-HBV00001A1U6E?magaza=First%20Sourcer,HB00001A1U6D,HBV00001A1U6E,True
https://www.hepsiburada.com/seiko-sks539p2-erkek-kol-saati-p-HBV000001REP3?magaza=First%20Sourcer,HB000001REP2,HBV000001REP3,True
https://www.hepsiburada.com/casio-gba-800-7adr-baby-g-erkek-kol-saati-p-HBV00000BT0U7?magaza=First%20Sourcer,HB00000BT0U6,HBV00000BT0U7,True
https://www.hepsiburada.com/honor-band-5-akilli-bileklik-yurt-disindan-p-HBV00000W3BC8?magaza=First%20Sourcer,HB00000W3BC7,HBV00000W3BC8,True
https://www.hepsiburada.com/mark-ryden-laptop-notebook-sirt-cantasi-9288-usb-sarj-portlu-p-HBV00001493UP?magaza=First%20Sourcer,HB00001493UO,HBV00001493UP,True
https://www.hepsiburada.com/mark-ryden-laptop-notebook-sirt-cantasi-9813-slim-p-HBV00001493U9?magaza=First%20Sourcer,HB00001493U8,HBV00001493U9,True
https://www.hepsiburada.com/dr-pen-n2-c-dermapen-cihazi-yurt-disindan-p-HBV000014T02U?magaza=First%20Sourcer,HB000014T02T,HBV000014T02U,True
https://www.hepsiburada.com/bullcaptain-bufalo-deri-2-katli-cuzdan-qb-027-15-kartlikli-p-HBV00000X5V26?magaza=First%20Sourcer,HB00000X5V1Y,HBV00000X5V26,True
https://www.hepsiburada.com/ez-mezoterapi-tabancasi-meso-gun-yurt-disindan-p-HBV00001496M5?magaza=First%20Sourcer,HB00001496M4,HBV00001496M5,True
https://www.hepsiburada.com/citizen-jy8109-85e-erkek-kol-saati-titanyum-p-HBV000017BD07?magaza=First%20Sourcer,HB000017BD06,HBV000017BD07,True
https://www.hepsiburada.com/mark-ryden-laptop-notebook-sirt-cantasi-9299-usb-sarj-portlu-p-HBV00001493UR?magaza=First%20Sourcer,HB00001493UQ,HBV00001493UR,True
https://www.hepsiburada.com/humerpaul-hakiki-deri-erkek-cuzdan-zincirli-bp852-p-HBV000012ZY09?magaza=First%20Sourcer,HB000012ZY08,HBV000012ZY09,True
https://www.hepsiburada.com/maono-au-pm422-conderser-studyo-youtuber-ses-kayit-mikrofon-seti-yurt-disindan-p-HBV000017TJLI?magaza=First%20Sourcer,HB000017TJLH,HBV000017TJLI,True
https://www.hepsiburada.com/mark-ryden-laptop-notebook-sirt-cantasi-6768-contrast-anti-thief-kilitli-p-HBV00001493TC?magaza=First%20Sourcer,HB00001493TB,HBV00001493TC,True
https://www.hepsiburada.com/citizen-at9080-57l-erkek-kol-saati-p-HBV000015Q5UC?magaza=First%20Sourcer,HB000015Q5UB,HBV000015Q5UC,True
https://www.hepsiburada.com/casio-ga-110sl-8adr-g-shock-erkek-kol-saati-p-HBV0000061NXN?magaza=First%20Sourcer,HB0000061NXM,HBV0000061NXN,True
https://www.hepsiburada.com/seiko-szev011-erkek-kol-saati-p-HBV00000XXLF6?magaza=First%20Sourcer,HB00000XXLF5,HBV00000XXLF6,True
https://www.hepsiburada.com/bullcaptain-deri-omuz-cantasi-erkek-djb035-p-HBV00000YBY9U?magaza=First%20Sourcer,HB00000YBY9R,HBV00000YBY9U,True
https://www.hepsiburada.com/seiko-snzg07k1-erkek-kol-saati-p-HBV00000IQFZM?magaza=First%20Sourcer,HB00000IQFZL,HBV00000IQFZM,True
https://www.hepsiburada.com/seiko-sbsa017-erkek-kol-saati-p-HBV00000XXLFO?magaza=First%20Sourcer,HB00000XXLFN,HBV00000XXLFO,True
https://www.hepsiburada.com/xiaomi-mijia-hava-temizleyici-3-oled-dokunmatik-ekran-yurt-disindan-p-HBV00000ZQRDE?magaza=First%20Sourcer,HB00000ZQRDD,HBV00000ZQRDE,True
https://www.hepsiburada.com/humerpaul-hakiki-deri-erkek-cuzdani-p-HBV0000104JHM?magaza=First%20Sourcer,HB0000104JHL,HBV0000104JHM,True
https://www.hepsiburada.com/bullcaptain-deri-postaci-cantasi-omuz-cantasi-p-HBV0000104JI1?magaza=First%20Sourcer,HB0000104JHY,HBV0000104JI1,True
https://www.hepsiburada.com/doris-jacky-deri-el-ve-omuz-cantasi-p-HBV0000104K40?magaza=First%20Sourcer,HB0000104K3Y,HBV0000104K40,True
https://www.hepsiburada.com/bullcaptain-deri-fermuarli-erkek-cuzdan-p-HBV00000Y6NBR?magaza=First%20Sourcer,HB00000Y6NBQ,HBV00000Y6NBR,True
https://www.hepsiburada.com/bullcaptain-deri-evrak-ve-laptop-cantasi-gri-gwb-041-p-HBV00000Y6OP5?magaza=First%20Sourcer,HB00000Y6OP3,HBV00000Y6OP5,True
https://www.hepsiburada.com/seiko-srpb53j1-erkek-kol-saati-p-HBV00000ZG7OL?magaza=First%20Sourcer,HB00000ZG7OK,HBV00000ZG7OL,True
https://www.hepsiburada.com/seiko-srpd09-erkek-kol-saati-p-HBV00000ZG7PV?magaza=First%20Sourcer,HB00000ZG7PU,HBV00000ZG7PV,True
https://www.hepsiburada.com/seiko-srpd65k4-erkek-kol-saati-p-HBV00000ZG7QT?magaza=First%20Sourcer,HB00000ZG7QS,HBV00000ZG7QT,True
https://www.hepsiburada.com/seiko-srp605j2-erkek-kol-saati-p-HBV00000ZG7QX?magaza=First%20Sourcer,HB00000ZG7QW,HBV00000ZG7QX,True
https://www.hepsiburada.com/seiko-srpb94j1-erkek-kol-saati-p-HBV00000ZG7V1?magaza=First%20Sourcer,HB00000ZG7V0,HBV00000ZG7V1,True
https://www.hepsiburada.com/seiko-ssb299p1-erkek-kol-saati-p-HBV00000ZG6VL?magaza=First%20Sourcer,HB00000ZG6VK,HBV00000ZG6VL,True
https://www.hepsiburada.com/citizen-at0496-07e-erkek-kol-saati-deri-kordon-p-HBV00000ZG7OJ?magaza=First%20Sourcer,HB00000ZG7OI,HBV00000ZG7OJ,True
https://www.hepsiburada.com/seiko-srp449k1-erkek-kol-saati-p-HBV00000ZG7SJ?magaza=First%20Sourcer,HB00000ZG7SI,HBV00000ZG7SJ,True
https://www.hepsiburada.com/seiko-sbsa015-erkek-kol-saati-p-HBV00000ZG7ST?magaza=First%20Sourcer,HB00000ZG7SS,HBV00000ZG7ST,True
https://www.hepsiburada.com/seiko-sbdy021-erkek-kol-saati-p-HBV00000ZG6UL?magaza=First%20Sourcer,HB00000ZG6UK,HBV00000ZG6UL,True
https://www.hepsiburada.com/seiko-szsb012-erkek-kol-saati-p-HBV00000ZG7RF?magaza=First%20Sourcer,HB00000ZG7RE,HBV00000ZG7RF,True
https://www.hepsiburada.com/seiko-sne487p1-erkek-kol-saati-p-HBV00000ZG7VJ?magaza=First%20Sourcer,HB00000ZG7VI,HBV00000ZG7VJ,True
https://www.hepsiburada.com/seiko-snk809k2-erkek-kol-saati-p-HBV00000ZG7PJ?magaza=First%20Sourcer,HB00000ZG7PI,HBV00000ZG7PJ,True
https://www.hepsiburada.com/seiko-srpd51k2-erkek-kol-saati-p-HBV00000ZG7UL?magaza=First%20Sourcer,HB00000ZG7UK,HBV00000ZG7UL,True
https://www.hepsiburada.com/seiko-ssa381k1-erkek-kol-saati-p-HBV00000ZG6W7?magaza=First%20Sourcer,HB00000ZG6W6,HBV00000ZG6W7,True
https://www.hepsiburada.com/seiko-snkk71k1-erkek-kol-saati-p-HBV00000ZG7RX?magaza=First%20Sourcer,HB00000ZG7RW,HBV00000ZG7RX,True
https://www.hepsiburada.com/seiko-sbsa009-erkek-kol-saati-p-HBV00000ZG7SL?magaza=First%20Sourcer,HB00000ZG7SK,HBV00000ZG7SL,True
https://www.hepsiburada.com/seiko-srpc44-erkek-kol-saati-p-HBV00000ZG7V9?magaza=First%20Sourcer,HB00000ZG7V8,HBV00000ZG7V9,True
https://www.hepsiburada.com/bullcaptain-deri-omuz-cantasi-p-HBV00000ZHB16?magaza=First%20Sourcer,HB00000ZHB14,HBV00000ZHB16,True
https://www.hepsiburada.com/seiko-skx007k1-erkek-kol-saati-p-HBV00000ZG6V3?magaza=First%20Sourcer,HB00000ZG6V2,HBV00000ZG6V3,True
https://www.hepsiburada.com/seiko-szsb015-erkek-kol-saati-p-HBV00000ZG7PD?magaza=First%20Sourcer,HB00000ZG7PC,HBV00000ZG7PD,True
https://www.hepsiburada.com/seiko-srpd65k3-erkek-kol-saati-p-HBV00000ZG7R5?magaza=First%20Sourcer,HB00000ZG7R4,HBV00000ZG7R5,True
https://www.hepsiburada.com/seiko-sbsa013-erkek-kol-saati-p-HBV00000ZG7T7?magaza=First%20Sourcer,HB00000ZG7T6,HBV00000ZG7T7,True
https://www.hepsiburada.com/yingbanglaoren-evrak-ve-laptop-cantasi-lp901-p-HBV00000ZHB1E?magaza=First%20Sourcer,HB00000ZHB1D,HBV00000ZHB1E,True
https://www.hepsiburada.com/seiko-snkk22k1-erkek-kol-saati-p-SASNKK22K1?magaza=First%20Sourcer,sasnkk22k1,SASNKK22K1,True
https://www.hepsiburada.com/seiko-snzf17j-erkek-kol-saati-p-SASAATX0802967?magaza=First%20Sourcer,sasaatx0802967,SASAATX0802967,True
https://www.hepsiburada.com/seiko-5-sports-srpd51k1-erkek-kol-saati-p-HBV00000S1IE0?magaza=First%20Sourcer,HB00000S1IDZ,HBV00000S1IE0,True
